n,tiempo,Consenso
4,8,True
4,9,True
4,3,True
4,6,True
4,1,True
4,1,True
4,12,True
4,1,True
4,1,True
4,3,True
4,15,True
4,2,True
4,2,True
4,12,True
4,10,True
4,5,True
4,2,True
4,4,True
4,16,True
4,1,True
4,3,True
4,7,True
4,7,True
4,6,True
4,4,True
4,1,True
4,2,True
4,2,True
4,1,True
4,10,True
4,9,True
4,2,True
4,11,True
4,2,True
4,2,True
4,4,True
4,2,True
4,1,True
4,1,True
4,4,True
4,4,True
4,1,True
4,8,True
4,4,True
4,1,True
4,1,True
4,3,True
4,5,True
4,7,True
4,5,True
4,8,True
4,2,True
4,7,True
4,2,True
4,1,True
4,10,True
4,1,True
4,1,True
4,11,True
4,11,True
4,1,True
4,6,True
4,1,True
4,1,True
4,3,True
4,4,True
4,1,True
4,10,True
4,10,True
4,1,True
4,19,True
4,8,True
4,10,True
4,1,True
4,3,True
4,5,True
4,1,True
4,3,True
4,1,True
4,1,True
4,3,True
4,1,True
4,5,True
4,1,True
4,7,True
4,1,True
4,1,True
4,5,True
4,11,True
4,1,True
4,2,True
4,3,True
4,1,True
4,4,True
4,3,True
4,4,True
4,3,True
4,3,True
4,2,True
4,2,True
8,9,True
8,802,True
8,817,True
8,685,True
8,352,True
8,187,True
8,211,True
8,1000,False
8,402,True
8,162,True
8,23,True
8,618,True
8,95,True
8,1000,False
8,63,True
8,1000,False
8,294,True
8,1000,False
8,125,True
8,1000,False
8,8,True
8,358,True
8,899,True
8,307,True
8,1000,False
8,95,True
8,357,True
8,667,True
8,443,True
8,161,True
8,821,True
8,977,True
8,222,True
8,1000,False
8,24,True
8,403,True
8,885,True
8,650,True
8,96,True
8,403,True
8,88,True
8,340,True
8,86,True
8,5,True
8,588,True
8,156,True
8,442,True
8,749,True
8,362,True
8,360,True
8,289,True
8,536,True
8,425,True
8,1000,False
8,29,True
8,576,True
8,397,True
8,318,True
8,137,True
8,266,True
8,226,True
8,964,True
8,1000,False
8,296,True
8,155,True
8,41,True
8,381,True
8,1000,False
8,1000,False
8,684,True
8,956,True
8,63,True
8,15,True
8,116,True
8,244,True
8,270,True
8,12,True
8,148,True
8,529,True
8,324,True
8,183,True
8,1000,False
8,48,True
8,129,True
8,507,True
8,141,True
8,319,True
8,12,True
8,740,True
8,1000,False
8,115,True
8,624,True
8,468,True
8,63,True
8,952,True
8,217,True
8,351,True
8,50,True
8,101,True
8,591,True
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
64,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
128,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
256,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
512,1000,False
